Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
Opnav CA-1,,NAV,19-Jan,19,16:15,0:30,16:45,F,12,21,"1,0",2.5,13.02,0.2,99018,"OPNV_C_A_1: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,63,,20-Jan,20,10:25,8:05,18:30,,,,,,,,,,
Burn TCM-18,,,20-Jan,20,12:00,,,,,,,,,,,,
Opnav CA-2,,NAV,20-Jan,20,18:00,0:30,18:30,F,12,21,"1,0",2.5,13.02,0.2,99018,"OPNV_C_A_2: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
Opnav CA-3,,NAV,21-Jan,21,1:35,0:30,2:05,F,12,21,"1,0",2.5,13.02,0.2,99018,"OPNV_C_A_3: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,54,,22-Jan,22,14:00,10:15,0:15,,,,,,,,,,
Opnav CA-4,,NAV,25-Jan,25,12:30,0:30,13:00,F,12,21,"1,0",2.5,13.02,0.2,99018,"OPNV_C_A_4: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,15,,25-Jan,25,17:00,7:15,0:15,,,,,,,,,,
,,,27-Jan,27,13:30,7:00,20:30,,,,,,,,,,
Opnav CA-5,,NAV,29-Jan,29,1:40,0:30,2:10,F,12,21,"1,0",2.5,13.02,0.2,99025,"OPNV_C_A_5: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,15,,29-Jan,29,2:35,4:00,6:35,,,,,,,,,,
,15,,29-Jan,29,13:30,7:00,20:30,,,,,,,,,,
Opnav CA-6,,NAV,01-Feb,32,12:35,0:30,13:05,F,12,21,"1,0",2.5,13.02,0.2,99025,"OPNV_C_A_6: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,15,,01-Feb,32,13:30,7:00,20:30,,,,,,,,,,
,,,02-Feb,33,4:00,4:00,8:00,,,,,,,,,,
,,,03-Feb,34,13:30,7:00,20:30,,,,,,,,,,
Opnav CA-7,,NAV,04-Feb,35,1:25,0:30,1:55,F,12,21,"1,0",2.5,13.02,0.2,99032,"OPNV_C_A_7: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,,,05-Feb,36,13:30,7:00,20:30,,,,,,,,,,
