Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
70 Meter (26.4 kb/s),63,,08-Mar,68,4:35,6:05,10:40,,,,,,,212.22,7.40,3.71,2.48,,,,
Momentum Management,,,,68,6:00,,,,,,,,,,,,,,,,
Opnav 68b H3,,NAV,08-Mar,68,10:45,0:20,11:05,,8,9,18,4,3,4.65,0.2,0.1,0.1,00066,Eros,3x3 mosaic in filter 4 (TABLE5+FAST),done
Star Calibration 068,,NAV,08-Mar,68,11:15,00:25,11:40,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 68c M3,,NAV,08-Mar,68,18:05,0:25,18:30,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
North Equatorial Lon1 (14N),,MSI,08-Mar,68,19:00,5:33,0:33,,8,288,18,4,3,148.78,5.2,2.6,1.7,00066,Eros,3x2 in filter 4 every15 deg for 1 rotation,done
Opnav 69a H3,,NAV,09-Mar,69,0:45,0:20,1:05,,8,9,18,4,3,4.65,0.2,0.1,0.1,00066,Eros,3x3 mosaic in filter 4 (TABLE5+FAST),done
Star Calibration 069,,NAV,09-Mar,69,01:15,00:25,01:40,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 69b L3,,NAV,09-Mar,69,8:00,0:25,8:25,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,3x4 mosaic in filter 4 (TABLE5+FAST),done
Mid North 2x2_A1 (23N),,MSI,09-Mar,69,8:50,0:20,9:10,,12,16,24,"1,3,4,6",1.2,20.66,0.7,0.4,0.2,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,20,15,"1,3,4,6,1",1.2,25.83,0.9,0.5,0.3,00066,Eros,Clean (FAST),done
Mid North 2x2_A2 (23N),,MSI,09-Mar,69,9:15,0:20,9:35,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Mid North 2x2_A3 (26N),,MSI,09-Mar,69,11:35,0:20,11:55,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position ,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Mid North 2x2_A4 (26N),,MSI,09-Mar,69,11:55,0:20,12:15,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position ,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Opnav 69c M3,,NAV,09-Mar,69,14:15,0:25,14:40,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),43,,09-Mar,69,15:05,8:15,23:20,,,,,,,460.60,16.07,8.06,5.39,,,,
Opnav 69d Q3,,NAV,09-Mar,69,23:19,0:30,23:49,,8,15,18,4,3,7.75,0.3,0.1,0.1,00066,Eros,3x5 mosaic in filter 4 (TABLE5+FAST),done
NPolarLat1,,MSI,09-Mar,69,23:49,4:43,4:32,,12,112,22,1-7,1.3,133.52,4.7,0.0,1.6,00066,Eros,8 filters every 1045 seconds for 1 rotation (16 sets),done
,,,,,,,,,8,128,21,"1-7,1",1.3,152.60,5.4,2.7,1.8,00066,Eros,Clean (FAST),done
NIS NPolarLat1,,MSI,09-Mar,69,23:49,4:33,4:22,,,936,3,,,1.07,0.0,0.0,0.0,00066,Eros,mp 63 - 87  (16sp + 2r + 4d) cal at 87,done
70 Meter (26.4 kb/s),63,,10-Mar,70,4:35,5:58,10:33,,,,,,,294.94,10.35,2.85,3.45,,,,
Opnav 70a Q3,,NAV,10-Mar,70,10:35,0:30,11:05,,8,15,18,4,3,7.75,0.3,0.1,0.1,00066,Eros,3x5 mosaic in filter 4 (TABLE5+FAST),done
NLR,,NLR,10-Mar,70,11:00,7:00,17:00,,,,,,,,,,,,,,
Opnav 70b H3,,NAV,10-Mar,70,17:00,0:20,17:20,,8,9,18,4,3,4.65,0.2,0.1,0.1,00066,Eros,3x3 mosaic in filter 4 (TABLE5+FAST),done
Star Calibration 070,,NAV,10-Mar,70,17:30,00:25,17:55,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
NorthPolarLon1 (37N),,MSI,10-Mar,70,18:00,5:40,23:40,,8,288,18,4,2.5,178.54,6.3,3.1,2.1,00066,Eros,2x3 in filter 4 every15 deg for 1 rotation,done
NIS NPolarLon1,,MSI,10-Mar,70,18:00,5:33,23:33,,,2080,4,,,2.38,0.1,0.0,0.0,00066,Eros,double repeat: mp 73-76 (5sp + 2r + 2d) cal at 76; mp 75-78 (5sp + 2r + 2d) cal at 78,done
Opnav 70c Q3,,NAV,10-Mar,70,23:40,0:30,0:10,,8,15,18,4,3,7.75,0.3,0.1,0.1,00066,Eros,3x5 mosaic in filter 4 (TABLE5+FAST),done
High North 2x2_B1 (35N),,MSI,11-Mar,71,1:10,0:20,1:30,,12,16,24,"1,3,4,6",1.2,20.66,0.7,0.4,0.2,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,20,15,"1,3,4,6,1",1.2,25.83,0.9,0.5,0.3,00066,Eros,Clean (FAST),done
High North 2x2_B2  (35N),,MSI,11-Mar,71,3:03,0:20,3:23,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
High North 2x2_B3  (35N),,MSI,11-Mar,71,3:30,0:20,3:50,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
